,fire_name,fire_size,fire_size_class,stat_cause_descr,fips_name,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,remoteness,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
5021,,5.0,B,Equipment Use,,33.8667,-79.8833,SC,2000-04-23,,Apr,,,,2000-03-24,2000,Mar,723107,43285.514188143774,371,1979,2005,16,0.1,File Not Found,64374.28306913,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5022,,60.0,C,Debris Burning,Barbour,31.945784000000003,-85.557817,AL,2007-03-11,2007-03-11,Mar,2007-03-11 17:12:00,2007-03-11 18:29:00,0 days 00:00:00.000000000,2007-02-09,2007,Feb,999999,45268.410938272646,23801,1965,2019,12,1.0,999999-63896-2007.gz,67354.65568426813,6.740196759259224,9.592361111111057,8.553174603174618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5023,,2.0,B,Equipment Use,,33.913191,-85.732506,AL,2010-04-21,,Apr,,,,2010-03-22,2010,Mar,722285,32948.12006704576,3896,2006,2020,16,0.1,722285-03896-2010.gz,67366.50104148751,14.032990805840985,16.320964749536206,16.617063492063483,18.867810760667897,1.9599242833964008,1.4843228200370986,1.2511904761904795,1.980890538033375,66.88604143947653,63.808550185873564,65.64741035856568,73.45240384615379,54.39999999999999,37.599999999999994,0.8,140.5
5024,BEELICK RUN,22.0,C,Arson,Roane,38.5516197,-81.45876658,WV,1994-11-09,1994-11-09,Nov,1994-11-09 13:10:00,1994-11-09 13:10:00,0 days 00:00:00.000000000,1994-10-10,1994,Oct,A00012,71849.2380005177,63879,1945,2004,0,1.0,File Not Found,65017.622777054334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5025,,1.0,B,Arson,Tyler,31.01042,-94.38125,TX,1998-05-17,,May,,,,1998-04-17,1998,Apr,722499,70242.02046407839,53948,1941,2020,12,0.1,722499-99999-1998.gz,72037.48049466888,19.74084507042255,23.407932011331436,23.86227544910179,27.14145658263307,2.5260930888575297,2.677053824362615,2.8730538922155735,3.1677871148459182,67.88510638297876,67.82436260623234,67.73053892215569,63.980392156862706,0.0,0.0,0.0,0.0
5026,JONES RD. 1,3.0,B,Fireworks,,46.46054,-120.42109,WA,2010-07-04,2010-07-04,Jul,2010-07-04 19:15:00,2010-07-04 20:30:00,0 days 00:00:00.000000000,2010-06-04,2010,Jun,727810,15173.041404465328,24243,1994,2020,9,0.1,727810-24243-2010.gz,86209.5414841297,17.76920374707264,19.603080568720394,18.887244897959146,0.0,2.8948809523809236,2.728260869565228,2.854123711340211,0.0,52.455303933253894,49.64251207729468,47.68556701030928,0.0,48.3,24.400000000000002,1.6,0.0
5027,,15.0,C,Arson,,33.7928,-85.4381,AL,2001-03-28,,Mar,,,,2001-02-26,2001,Feb,722287,44971.176405504964,13871,1992,2005,16,1.0,722287-13871-2001.gz,67218.75558050003,10.628759604829835,9.705720823798622,8.739130434782629,16.380377754459627,2.733812154696106,3.052424942263277,2.661748633879785,2.509735449735432,68.28105395232126,67.47668393782385,61.12352941176477,72.31922611850058,222.10000000000002,166.40000000000003,16.3,150.1
5028,FY2001-CLINCH-039,3.6,B,Debris Burning,Clinch,31.1726,-82.7172,GA,2001-05-05,2001-05-05,May,2001-05-05 16:40:00,2001-05-05 16:40:00,0 days 00:00:00.000000000,2001-04-05,2001,Apr,722062,36487.14590779167,99999,1945,2005,12,0.1,File Not Found,65926.09232044997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5029,,4.0,B,Smoking,,35.8933,-95.1722,OK,1999-01-17,,Jan,,,,1998-12-18,1998,Dec,722199,15690.759428295712,53956,1981,2005,15,0.1,File Not Found,72271.38914788,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5030,OREGON,280.0,D,Arson,Butte,39.547611,-121.53075,CA,1999-10-15,1999-10-15,Oct,1999-10-15 11:40:00,1999-10-15 11:42:00,0 days 00:00:00.000000000,1999-09-15,1999,Sep,724837,46795.94819943537,99999,1988,2003,0,3.0,724837-93216-1999.gz,86998.99852981883,22.81204111600588,21.825153374233118,22.577777777777772,0.0,2.3147335423197397,2.27342657342658,1.6704347826086943,0.0,50.31150159744407,50.27142857142858,40.60526315789474,0.0,0.0,0.0,0.0,0.0
5031,,4.5,B,Arson,Pickens,34.5328,-84.6347,GA,1995-03-20,1995-03-20,Mar,1995-03-20 16:45:00,1995-03-20 18:00:00,0 days 00:00:00.000000000,1995-02-18,1995,Feb,722109,31201.27900456728,355,1943,2020,16,0.1,File Not Found,66776.22066058,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5032,DIXIE MTN SLASH,6.25,B,Debris Burning,Washington,45.71361,-122.99556,OR,2010-10-22,2010-10-22,Oct,,,0 days 00:00:00.000000000,2010-09-22,2010,Sep,726836,11986.056309891697,99999,1999,2020,15,0.1,726836-04201-2010.gz,87737.78112044571,13.053193612774463,11.164112903225801,9.986633663366337,0.0,1.2907185628742481,1.2578629032258097,1.4742574257425736,0.0,77.03186646433981,77.14779874213838,73.3803680981595,0.0,26.400000000000006,22.800000000000004,0.6,0.0
